size,classifier,pp,precision,recall,f1_score
16,SGDClassifier,True,0.35,0.35,0.31
48,SGDClassifier,True,0.36,0.33,0.27
112,SGDClassifier,True,0.39,0.36,0.33
240,SGDClassifier,True,0.44,0.43,0.42
496,SGDClassifier,True,0.48,0.46,0.45
1008,SGDClassifier,True,0.47,0.46,0.46
2032,SGDClassifier,True,0.50,0.49,0.49
4080,SGDClassifier,True,0.51,0.51,0.49
8176,SGDClassifier,True,0.53,0.53,0.52
16368,SGDClassifier,True,0.55,0.55,0.55
32752,SGDClassifier,True,0.57,0.57,0.57
65520,SGDClassifier,True,0.57,0.57,0.57
131056,SGDClassifier,True,0.59,0.59,0.59
262128,SGDClassifier,True,0.59,0.59,0.59
524272,SGDClassifier,True,0.59,0.59,0.59
1048560,SGDClassifier,True,0.60,0.59,0.59
2097136,SGDClassifier,True,0.59,0.59,0.59
4194288,SGDClassifier,True,0.59,0.59,0.59
4494288,SGDClassifier,True,0.59,0.59,0.58
4794288,SGDClassifier,True,0.59,0.59,0.58
5094288,SGDClassifier,True,0.59,0.59,0.59
5394288,SGDClassifier,True,0.59,0.59,0.58
5694288,SGDClassifier,True,0.59,0.59,0.58
5994288,SGDClassifier,True,0.59,0.59,0.58
6294288,SGDClassifier,True,0.59,0.59,0.58
6594288,SGDClassifier,True,0.59,0.59,0.58
6894288,SGDClassifier,True,0.59,0.59,0.58
7194288,SGDClassifier,True,0.59,0.59,0.58
7494288,SGDClassifier,True,0.59,0.59,0.58
7794288,SGDClassifier,True,0.59,0.59,0.58
8094288,SGDClassifier,True,0.59,0.59,0.58
8394288,SGDClassifier,True,0.59,0.59,0.58
8694288,SGDClassifier,True,0.59,0.59,0.58
8994288,SGDClassifier,True,0.59,0.59,0.58
9294288,SGDClassifier,True,0.59,0.59,0.58
9594288,SGDClassifier,True,0.59,0.59,0.58
9894288,SGDClassifier,True,0.59,0.59,0.58
10194288,SGDClassifier,True,0.59,0.59,0.58
10494288,SGDClassifier,True,0.59,0.59,0.58
10794288,SGDClassifier,True,0.59,0.59,0.58
11094288,SGDClassifier,True,0.59,0.59,0.58
11394288,SGDClassifier,True,0.59,0.59,0.59
11694288,SGDClassifier,True,0.59,0.59,0.58
11994288,SGDClassifier,True,0.59,0.59,0.58
12294288,SGDClassifier,True,0.59,0.59,0.58
12594288,SGDClassifier,True,0.59,0.59,0.58
12894288,SGDClassifier,True,0.59,0.59,0.58
13194288,SGDClassifier,True,0.59,0.59,0.58
13494288,SGDClassifier,True,0.59,0.59,0.58
13794288,SGDClassifier,True,0.59,0.59,0.58
14094288,SGDClassifier,True,0.59,0.59,0.58
14394288,SGDClassifier,True,0.59,0.59,0.58
14694288,SGDClassifier,True,0.59,0.59,0.58
14994288,SGDClassifier,True,0.59,0.59,0.58
15294288,SGDClassifier,True,0.59,0.59,0.58
15594288,SGDClassifier,True,0.59,0.59,0.58
15894288,SGDClassifier,True,0.59,0.59,0.58
